Time(s),Pressure(Pa)
5616.829072,0.385485197
5616.929567,-3.276624178
5617.030655,0.385485197
5617.131166,0.385485197
5617.221175,-3.276624178
5617.32187,-3.276624178
5617.422346,0.385485197
5617.523581,0.385485197
5617.633542,-3.276624178
5617.734054,-3.276624178
5617.854877,0.385485197
5617.987142,0.385485197
5618.08723,0.385485197
5618.19723,-3.276624178
5618.297235,-3.276624178
5618.407744,-3.276624178
5618.508762,-3.276624178
5618.609352,0.385485197
5618.709924,0.385485197
5618.810492,0.385485197
5618.920499,0.385485197
5619.020496,-3.276624178
5619.121576,0.385485197
5619.22174,0.385485197
5619.312121,0.385485197
5619.422637,0.385485197
5619.523021,0.385485197
5619.622967,0.385485197
5619.723607,0.385485197
5619.824451,0.385485197
5619.934417,-3.276624178
5620.034991,0.385485197
5620.135538,0.385485197
5620.24046,0.385485197
5620.34046,0.385485197
5620.451032,0.385485197
5620.551509,-3.276624178
5620.651615,0.385485197
5620.752029,0.385485197
5620.85254,0.385485197
5620.963185,0.385485197
5621.063183,0.385485197
5621.164377,0.385485197
5621.264336,0.385485197
5621.364877,0.385485197
5621.465577,0.385485197
5621.567529,0.385485197
5621.677668,-3.276624178
5621.77832,-3.276624178
5621.88883,0.385485197
5621.989334,0.385485197
5622.100039,0.385485197
5622.200537,-3.276624178
5622.290534,0.385485197
5622.401703,0.385485197
5622.501685,-3.276624178
5622.601652,0.385485197
5622.69283,0.385485197
5622.793845,0.385485197
5622.894391,-3.276624178
5623.004966,0.385485197
5623.105568,0.385485197
5623.210047,-3.276624178
5623.311168,0.385485197
5623.421487,0.385485197
5623.521497,0.385485197
5623.632365,0.385485197
5623.732936,0.385485197
5623.843462,-3.276624178
5623.953538,-3.276624178
5624.053981,0.385485197
5624.154515,-3.276624178
5624.2645,-3.276624178
5624.375564,0.385485197
5624.486119,0.385485197
5624.586603,0.385485197
5624.687083,-3.276624178
5624.797161,0.385485197
5624.898174,0.385485197
5625.00829,0.385485197
5625.108215,0.385485197
5625.215856,0.385485197
5625.315572,0.385485197
5625.426082,-3.276624178
5625.526691,0.385485197
5625.626881,0.385485197
5625.738016,4.047594572
5625.838017,0.385485197
5625.948553,0.385485197
5626.048556,-3.276624178
5626.149198,0.385485197
5626.249731,0.385485197
5626.350394,0.385485197
5626.461396,0.385485197
5626.562567,0.385485197
5626.662487,4.047594572
5626.763502,-3.276624178
5626.864187,-3.276624178
5626.964108,0.385485197
5627.074761,0.385485197
5627.175198,-3.276624178
5627.275816,0.385485197
5627.376133,-3.276624178
5627.476131,0.385485197
5627.586198,0.385485197
5627.6805,0.385485197
5627.788514,-3.276624178
5627.889107,-3.276624178
5627.999532,0.385485197
5628.100549,0.385485197
5628.202047,-3.276624178
5628.303219,0.385485197
5628.404547,-3.276624178
5628.507891,0.385485197
5628.60835,0.385485197
5628.71835,-3.276624178
5628.82024,0.385485197
5628.920572,0.385485197
5629.031308,-3.276624178
5629.131454,0.385485197
5629.232688,-3.276624178
5629.342613,0.385485197
5629.438346,0.385485197
5629.538931,-3.276624178
5629.639369,0.385485197
5629.750312,0.385485197
5629.851466,-3.276624178
5629.962176,0.385485197
5630.063274,-3.276624178
5630.163413,0.385485197
5630.273806,4.047594572
5630.374717,-3.276624178
5630.48465,-3.276624178
5630.595728,0.385485197
5630.696865,4.047594572
5630.797728,0.385485197
5630.897638,-3.276624178
5631.008839,-3.276624178
5631.109277,0.385485197
5631.210695,-3.276624178
5631.310708,0.385485197
5631.411381,-3.276624178
5631.522044,-3.276624178
5631.62185,0.385485197
5631.732877,0.385485197
5631.844049,0.385485197
5631.954057,0.385485197
5632.054329,0.385485197
5632.154362,0.385485197
5632.254978,0.385485197
5632.365079,-3.276624178
5632.465732,-3.276624178
5632.566365,0.385485197
5632.676659,0.385485197
5632.777475,0.385485197
5632.877017,0.385485197
5632.987573,0.385485197
5633.088106,0.385485197
5633.188145,-3.276624178
5633.288901,0.385485197
5633.38886,0.385485197
5633.499493,4.047594572
5633.599927,4.047594572
5633.711061,0.385485197
5633.812041,0.385485197
5633.912343,4.047594572
5634.022764,0.385485197
5634.123187,4.047594572
5634.223856,0.385485197
5634.333628,4.047594572
5634.434053,4.047594572
5634.544351,4.047594572
5634.644571,4.047594572
5634.744786,4.047594572
5634.84483,4.047594572
5634.945356,7.709703947
5635.045321,7.709703947
5635.14607,7.709703947
5635.247004,15.0339227
5635.346997,18.69603207
5635.436966,26.02025082
5635.526964,29.6823602
5635.627295,29.6823602
5635.727258,40.66868832
5635.82773,40.66868832
5635.91808,40.66868832
5636.009107,58.9792352
5636.109699,69.96556332
5636.209654,128.5593133
5636.307329,150.5319696
5636.39794,154.1940789
5636.498295,150.5319696
5636.598732,143.2077508
5636.689245,150.5319696
5636.789762,143.2077508
5636.880883,150.5319696
5636.982798,146.8698602
5637.082839,146.8698602
5637.172842,135.8835321
5637.26348,139.5456414
5637.363532,143.2077508
5637.453809,143.2077508
5637.554832,139.5456414
5637.645064,135.8835321
5637.745058,139.5456414
5637.845698,143.2077508
5637.946164,139.5456414
5638.046667,139.5456414
5638.136668,150.5319696
5638.236667,150.5319696
5638.336672,143.2077508
5638.427057,150.5319696
5638.537138,139.5456414
5638.627573,146.8698602
5638.727585,154.1940789
5638.817585,143.2077508
5638.918098,143.2077508
5639.018476,146.8698602
5639.109028,146.8698602
5639.208957,143.2077508
5639.29998,143.2077508
5639.399982,146.8698602
5639.491126,146.8698602
5639.591764,139.5456414
5639.681807,143.2077508
5639.775933,143.2077508
5639.876096,143.2077508
5639.966095,146.8698602
5640.072934,143.2077508
5640.172936,143.2077508
5640.273265,143.2077508
5640.36374,146.8698602
5640.45438,139.5456414
5640.555159,143.2077508
5640.645731,143.2077508
5640.745909,146.8698602
5640.836232,139.5456414
5640.936795,139.5456414
5641.027299,143.2077508
5641.127304,146.8698602
5641.227922,139.5456414
5641.322715,143.2077508
5641.423175,143.2077508
5641.513511,139.5456414
5641.614534,139.5456414
5641.714533,139.5456414
5641.813144,143.2077508
5641.913527,143.2077508
5642.014038,139.5456414
5642.104998,143.2077508
5642.20698,139.5456414
5642.297534,143.2077508
5642.398223,139.5456414
5642.498524,139.5456414
5642.588475,139.5456414
5642.679958,139.5456414
5642.780425,146.8698602
5642.871042,143.2077508
5642.961591,146.8698602
5643.063279,143.2077508
5643.155321,143.2077508
5643.256265,135.8835321
5643.349332,143.2077508
5643.449421,143.2077508
5643.54055,143.2077508
5643.640816,146.8698602
5643.730949,146.8698602
5643.831255,146.8698602
5643.933789,143.2077508
5644.032546,146.8698602
5644.123085,146.8698602
5644.223128,139.5456414
5644.313654,146.8698602
5644.414317,146.8698602
5644.514822,143.2077508
5644.604814,146.8698602
5644.705324,143.2077508
5644.795401,143.2077508
5644.895879,146.8698602
5644.986359,146.8698602
5645.086983,143.2077508
5645.187498,143.2077508
5645.278225,143.2077508
5645.379115,143.2077508
5645.46983,146.8698602
5645.5708,143.2077508
5645.67134,146.8698602
5645.77175,146.8698602
5645.872772,146.8698602
5645.962776,146.8698602
5646.060685,146.8698602
5646.161017,150.5319696
5646.251013,143.2077508
5646.35106,139.5456414
5646.451019,146.8698602
5646.541619,143.2077508
5646.631522,146.8698602
5646.732445,146.8698602
5646.832626,139.5456414
5646.943012,143.2077508
5647.043389,135.8835321
5647.143631,139.5456414
5647.243874,143.2077508
5647.343909,146.8698602
5647.443951,139.5456414
5647.555007,143.2077508
5647.65504,143.2077508
5647.765993,143.2077508
5647.867253,143.2077508
5647.967775,143.2077508
5648.068425,143.2077508
5648.168758,146.8698602
5648.269277,146.8698602
5648.380548,146.8698602
5648.480749,146.8698602
5648.581909,146.8698602
5648.682177,150.5319696
5648.78217,139.5456414
5648.883185,102.9245477
5648.98377,62.64134457
5649.074363,40.66868832
5649.174801,37.00657895
5649.26333,29.6823602
5649.363847,15.0339227
5649.464358,7.709703947
5649.568729,4.047594572
5649.669686,4.047594572
5649.770188,4.047594572
5649.870699,0.385485197
5649.961366,0.385485197
5650.061836,0.385485197
5650.162382,0.385485197
5650.252344,0.385485197
5650.352462,0.385485197
5650.442461,0.385485197
5650.543632,4.047594572
5650.643597,0.385485197
5650.734608,0.385485197
5650.825028,0.385485197
5650.925536,-3.276624178
5651.0255,0.385485197
5651.126004,-3.276624178
5651.216005,0.385485197
5651.316796,0.385485197
5651.406764,0.385485197
5651.507365,0.385485197
5651.607841,0.385485197
5651.708326,0.385485197
5651.798331,0.385485197
5651.899274,0.385485197
5651.989789,0.385485197
5652.09081,0.385485197
5652.191311,-3.276624178
5652.281819,0.385485197
5652.372361,0.385485197
5652.472932,0.385485197
5652.562932,0.385485197
5652.663496,-3.276624178
5652.764155,-3.276624178
5652.854432,-3.276624178
5652.944428,-3.276624178
5653.044461,0.385485197
